,dah,PEM2010_INPUT_DTC_ISO_1,PEM2010_INPUT_NP_1,PEM2010_INPUT_RHOB_1,PEM2010_INPUT_RT_1,PEM2010_INPUT_SWE_1,PEM2010_INPUT_SWT_1,PEM2010_INPUT_VCL_1,WELL
7359,3705.5,101.6384,0.47549275,2.524116,1.17035,1.0,1.0,0.555235,EBONI-04
7360,3706.0,105.17563,0.50799996,2.5171354,0.8621495,1.0,1.0,0.5841437,EBONI-04
7361,3706.5,106.51472,0.48370948,2.4947643,0.7070162,1.0,1.0,0.60128385,EBONI-04
7362,3707.0,105.99711,0.46031398,2.493262,0.70810044,1.0,1.0,0.57288206,EBONI-04
7363,3707.5,105.44925,0.47185054,2.4870768,0.78901154,1.0,1.0,0.55351263,EBONI-04
7364,3708.0,105.210075,0.46971005,2.4812973,0.868313,1.0,1.0,0.55603,EBONI-04
7365,3708.5,106.450806,0.49118048,2.4819121,0.8813175,1.0,1.0,0.57006896,EBONI-04
7366,3709.0,107.1152,0.534144,2.4779782,0.86320704,1.0,1.0,0.57816494,EBONI-04
7367,3709.5,103.79783,0.4982558,2.4892812,0.9184826,1.0,1.0,0.55039424,EBONI-04
7368,3710.0,100.61921,0.43650627,2.5056965,0.9926225,1.0,1.0,0.52938193,EBONI-04
7369,3710.5,100.73102,0.432139,2.5028367,1.0056355,1.0,1.0,0.543534,EBONI-04
7370,3711.0,103.484474,0.4696058,2.4921918,0.93993044,1.0,1.0,0.56851,EBONI-04
7371,3711.5,104.987915,0.47325265,2.4989758,0.91355526,1.0,1.0,0.57615215,EBONI-04
7372,3712.0,104.90735,0.43767643,2.5087206,0.965316,1.0,1.0,0.52885646,EBONI-04
7373,3712.5,106.63971,0.46686998,2.488617,0.9126649,1.0,1.0,0.524325,EBONI-04
7374,3713.0,109.429085,0.4952779,2.4622445,0.81977683,1.0,1.0,0.5915989,EBONI-04
7375,3713.5,109.85203,0.47978756,2.4693236,0.8239739,1.0,1.0,0.61268663,EBONI-04
7376,3714.0,109.27293,0.46428698,2.4732666,0.81491405,1.0,1.0,0.5978115,EBONI-04
7377,3714.5,109.116325,0.4777705,2.471975,0.8146221,1.0,1.0,0.5934074,EBONI-04
7378,3715.0,109.27413,0.50198054,2.482317,0.83360475,1.0,1.0,0.5970753,EBONI-04
7379,3715.5,108.4835,0.4867525,2.492277,0.85640097,1.0,1.0,0.58958906,EBONI-04
7380,3716.0,108.081955,0.47858047,2.4912772,0.8602871,1.0,1.0,0.59802145,EBONI-04
7381,3716.5,108.75608,0.4921542,2.4828138,0.8540473,1.0,1.0,0.593511,EBONI-04
7382,3717.0,108.24192,0.48173803,2.4758573,0.8581605,1.0,1.0,0.5775981,EBONI-04
7383,3717.5,106.98883,0.46533352,2.4740229,0.8651165,1.0,1.0,0.58792245,EBONI-04
7384,3718.0,106.67625,0.47697684,2.4762466,0.8558885,1.0,1.0,0.5982563,EBONI-04
7385,3718.5,106.8252,0.48651314,2.4874754,0.8473553,1.0,1.0,0.6056674,EBONI-04
7386,3719.0,106.37929,0.46802396,2.4973247,0.8703574,1.0,1.0,0.59991056,EBONI-04
